76 -1 0 -1 1 -1 1 -1 3 -1 1 -1 9 -1 9 -1 61 -1 72 -1 22 -1 75 -1 91 -1 91 -1 75 -1 52 -1 28 -1 28 -1 28 -1 55 -1 28 -1 76 -1 90 -1 76 -1 -2
76 -1 0 -1 54 -1 1 -1 3 -1 1 -1 9 -1 9 -1 61 -1 72 -1 22 -1 75 -1 75 -1 91 -1 91 -1 52 -1 28 -1 41 -1 28 -1 55 -1 28 -1 76 -1 76 -1 76 -1 -2
76 -1 0 -1 54 -1 54 -1 3 -1 1 -1 9 -1 9 -1 61 -1 72 -1 22 -1 52 -1 75 -1 91 -1 91 -1 75 -1 28 -1 41 -1 28 -1 55 -1 28 -1 76 -1 76 -1 76 -1 -2
54 -1 0 -1 54 -1 54 -1 35 -1 1 -1 9 -1 9 -1 61 -1 61 -1 22 -1 52 -1 75 -1 91 -1 91 -1 91 -1 41 -1 41 -1 28 -1 28 -1 0 -1 76 -1 76 -1 76 -1 -2
0 -1 54 -1 54 -1 1 -1 35 -1 1 -1 9 -1 9 -1 61 -1 72 -1 53 -1 52 -1 91 -1 20 -1 91 -1 91 -1 75 -1 41 -1 28 -1 28 -1 28 -1 76 -1 76 -1 76 -1 -2
0 -1 54 -1 54 -1 81 -1 35 -1 1 -1 1 -1 9 -1 61 -1 61 -1 53 -1 39 -1 20 -1 20 -1 20 -1 91 -1 91 -1 41 -1 28 -1 28 -1 28 -1 0 -1 76 -1 0 -1 -2
54 -1 54 -1 81 -1 81 -1 35 -1 9 -1 1 -1 9 -1 59 -1 59 -1 53 -1 39 -1 20 -1 20 -1 20 -1 91 -1 41 -1 41 -1 28 -1 28 -1 28 -1 0 -1 0 -1 54 -1 -2
54 -1 81 -1 81 -1 10 -1 35 -1 1 -1 9 -1 9 -1 59 -1 59 -1 53 -1 39 -1 20 -1 20 -1 20 -1 20 -1 41 -1 41 -1 28 -1 28 -1 28 -1 1 -1 0 -1 81 -1 -2
54 -1 81 -1 81 -1 66 -1 35 -1 1 -1 1 -1 93 -1 59 -1 59 -1 5 -1 75 -1 20 -1 46 -1 20 -1 20 -1 41 -1 89 -1 28 -1 28 -1 28 -1 1 -1 0 -1 81 -1 -2
54 -1 81 -1 81 -1 30 -1 35 -1 1 -1 9 -1 93 -1 59 -1 59 -1 5 -1 75 -1 20 -1 46 -1 46 -1 20 -1 41 -1 89 -1 28 -1 28 -1 28 -1 1 -1 54 -1 10 -1 -2
81 -1 10 -1 10 -1 30 -1 35 -1 1 -1 9 -1 93 -1 59 -1 29 -1 5 -1 75 -1 46 -1 46 -1 46 -1 46 -1 20 -1 41 -1 28 -1 28 -1 28 -1 1 -1 89 -1 81 -1 -2
81 -1 10 -1 10 -1 30 -1 24 -1 1 -1 93 -1 93 -1 29 -1 29 -1 82 -1 91 -1 46 -1 6 -1 6 -1 75 -1 39 -1 41 -1 28 -1 28 -1 28 -1 81 -1 89 -1 81 -1 -2
81 -1 10 -1 64 -1 30 -1 24 -1 1 -1 93 -1 93 -1 29 -1 29 -1 82 -1 91 -1 6 -1 6 -1 6 -1 91 -1 75 -1 41 -1 41 -1 28 -1 41 -1 1 -1 81 -1 81 -1 -2
10 -1 64 -1 64 -1 30 -1 24 -1 1 -1 93 -1 93 -1 29 -1 29 -1 82 -1 91 -1 6 -1 6 -1 6 -1 6 -1 75 -1 41 -1 41 -1 28 -1 41 -1 1 -1 81 -1 10 -1 -2
