69 18 9 9 1 9 91 91 49 54 14 75 84 84 75 21 7 7 7 8 7 69 33 69 
69 18 34 9 1 9 91 91 49 54 14 75 75 84 84 21 7 2 7 8 7 69 69 69 
69 18 34 34 1 9 91 91 49 54 14 21 75 84 84 75 7 2 7 8 7 69 69 69 
34 18 34 34 28 9 91 91 49 49 14 21 75 84 84 84 2 2 7 7 18 69 69 69 
18 34 34 9 28 9 91 91 49 54 42 21 84 62 84 84 75 2 7 7 7 69 69 69 
18 34 34 88 28 9 9 91 49 49 42 73 62 62 62 84 84 2 7 7 7 18 69 18 
34 34 88 88 28 91 9 91 52 52 42 73 62 62 62 84 2 2 7 7 7 18 18 34 
34 88 88 6 28 9 91 91 52 52 42 73 62 62 62 62 2 2 7 7 7 9 18 88 
34 88 88 23 28 9 9 35 52 52 83 75 62 63 62 62 2 22 7 7 7 9 18 88 
34 88 88 37 28 9 91 35 52 52 83 75 62 63 63 62 2 22 7 7 7 9 34 6 
88 6 6 37 28 9 91 35 52 5 83 75 63 63 63 63 62 2 7 7 7 9 22 88 
88 6 6 37 74 9 35 35 5 5 16 84 63 67 67 75 73 2 7 7 7 88 22 88 
88 6 29 37 74 9 35 35 5 5 16 84 67 67 67 84 75 2 2 7 2 9 88 88 
6 29 29 37 74 9 35 35 5 5 16 84 67 67 67 67 75 2 2 7 2 9 88 6 
6 29 29 37 74 9 35 35 57 57 43 62 72 72 72 84 6 2 2 2 2 9 88 29 
29 29 58 37 74 9 35 49 57 57 43 84 72 72 72 84 88 2 2 2 2 9 6 6 
29 58 58 37 74 9 35 49 57 57 43 72 72 30 72 72 88 2 2 2 2 9 6 6 
58 58 58 37 32 9 35 49 57 57 47 72 30 30 30 72 88 22 2 2 2 9 29 29 
58 30 30 59 32 9 35 49 36 36 47 63 30 30 30 30 88 22 2 2 2 9 29 29 
58 30 30 59 32 9 49 49 36 36 47 84 58 58 58 30 62 22 2 2 2 9 29 29 
30 30 72 9 32 9 49 49 36 36 80 62 58 58 58 30 63 84 22 2 22 9 58 58 
72 72 72 9 32 9 49 49 78 36 80 62 58 58 58 58 63 62 22 2 22 9 58 58 
72 72 72 9 32 9 49 52 78 36 56 63 29 29 29 58 63 63 22 22 22 69 30 30 
67 72 48 9 32 9 49 52 78 78 82 60 29 29 29 58 33 63 22 22 22 18 30 30 
67 67 67 59 13 9 9 52 78 14 82 30 29 6 29 29 63 22 22 22 22 9 30 30 
67 67 39 59 13 9 9 52 44 14 82 29 6 6 6 29 67 34 22 22 22 9 72 72 
63 67 39 59 13 9 9 52 44 14 90 6 6 6 6 6 67 33 22 22 22 34 72 72 
18 9 62 75 84 75 11 73 9 35 52 46 56 9 9 18 18 18 18 34 33 22 22 33 
33 69 62 75 84 75 11 73 9 35 52 46 56 9 9 18 18 18 18 30 33 22 22 33 
33 69 62 62 75 75 11 73 9 9 52 76 56 46 9 18 18 18 18 30 33 22 22 22 
18 33 62 75 75 21 11 73 9 9 52 76 56 56 9 18 18 18 88 34 33 22 22 22 
69 33 62 75 75 21 11 73 9 9 52 76 56 56 9 18 18 18 34 34 33 22 22 22 
69 33 62 75 75 75 11 73 9 9 52 76 56 56 60 18 18 18 88 34 33 22 22 22 
18 33 62 75 75 75 11 73 9 9 52 76 56 56 60 18 18 18 88 34 33 22 22 22 
18 69 62 75 75 75 9 73 9 9 52 76 56 56 9 18 18 18 88 34 33 22 22 22 
18 69 62 75 75 75 9 73 9 9 52 76 56 56 60 18 18 18 72 30 33 22 22 22 
18 69 62 75 75 75 9 73 9 9 52 76 56 56 70 18 18 18 6 34 33 33 22 33 
18 69 62 62 75 75 9 73 9 9 5 54 56 56 9 18 69 18 88 18 33 33 33 33 
34 69 62 62 75 75 9 73 9 9 5 54 56 56 9 18 69 18 34 18 33 33 33 33 
34 9 62 84 75 73 9 73 9 49 5 54 85 85 6 69 69 69 18 18 69 33 33 33 
34 9 84 84 75 75 9 73 9 9 5 54 85 85 9 69 69 69 34 18 69 69 33 69 
34 9 84 84 75 73 9 19 9 9 57 89 85 85 9 69 69 69 34 72 69 69 69 69 
88 9 84 84 75 73 9 19 9 9 57 89 21 21 9 69 69 69 34 58 18 69 69 69 
18 9 75 75 75 73 9 19 9 9 57 89 21 21 9 69 69 69 18 72 18 18 69 18 
18 21 75 75 73 73 9 19 9 9 36 39 21 21 9 69 69 69 88 72 18 18 18 18 
34 9 75 75 73 86 9 19 9 9 36 39 47 73 9 69 33 69 88 18 34 18 18 18 
34 9 75 73 73 86 9 19 9 9 36 86 47 73 9 69 33 33 88 69 34 34 18 34 
34 21 73 73 73 86 9 13 9 9 78 86 80 75 9 69 33 33 69 88 88 34 34 34 
88 9 73 73 73 86 9 13 9 9 78 86 80 75 9 33 33 33 18 69 88 88 34 88 
58 9 21 21 73 86 9 13 9 9 78 81 82 75 9 33 33 33 69 88 88 88 88 88 
58 9 21 21 73 12 9 13 9 9 44 81 90 84 9 33 33 33 69 69 6 88 88 88 
72 9 21 21 21 12 9 13 9 9 44 64 90 84 9 33 33 33 18 69 6 6 88 6 
47 9 85 85 21 20 9 13 9 9 76 48 46 62 9 33 22 33 33 88 29 29 6 29 
58 9 85 56 85 68 9 32 9 9 76 48 46 62 9 22 22 22 47 6 29 29 29 29 
56 56 56 56 85 20 9 32 9 9 9 14 56 63 11 22 22 22 33 33 58 29 29 29 
46 56 56 56 85 0 9 32 9 9 16 14 56 63 9 22 22 22 33 6 58 58 29 58 
62 46 56 46 56 0 9 32 9 9 16 14 56 67 9 22 22 22 9 6 62 58 58 30 
62 46 46 46 56 9 9 32 9 9 16 42 85 67 9 22 22 22 69 33 62 30 58 30 
62 46 46 46 56 0 9 32 9 9 43 47 85 67 9 22 2 22 22 33 84 30 30 30 
62 46 46 90 56 0 9 32 9 9 43 83 21 72 9 22 2 2 9 22 72 30 30 72 
62 90 90 90 12 0 9 32 9 9 47 83 21 72 9 2 2 2 22 29 72 72 30 72 
84 90 90 90 12 15 9 9 9 9 47 83 21 72 9 2 2 2 69 22 72 72 72 72 
82 90 90 82 46 15 9 9 9 9 47 16 73 30 9 2 2 2 22 22 67 72 72 72 
73 82 82 82 89 15 9 9 9 9 80 47 73 30 9 2 2 2 33 22 67 67 72 63 
63 82 82 82 12 9 9 9 9 9 80 80 73 30 9 2 2 2 22 22 67 67 72 67 
73 82 82 80 89 15 9 9 9 9 80 80 73 58 9 2 2 2 2 22 63 75 67 67 
62 82 82 80 12 15 9 32 9 9 82 43 75 58 9 2 7 2 33 22 62 63 67 63 
62 80 80 80 87 15 9 32 9 9 82 82 58 58 9 2 7 2 2 22 58 73 67 63 
73 62 80 9 89 4 51 74 9 9 82 80 58 29 51 2 7 7 2 2 58 63 63 62 
85 85 85 56 56 9 73 87 0 17 9 48 73 73 73 58 69 7 7 8 7 46 34 62 
56 85 85 56 46 56 73 87 9 17 9 14 73 73 73 58 69 7 7 7 7 9 34 62 
56 85 56 56 42 85 55 87 9 17 9 14 73 73 73 58 69 7 7 7 7 9 34 62 
56 56 56 56 46 85 73 87 92 17 9 14 73 73 73 58 69 2 7 7 7 9 46 62 
56 56 56 42 46 73 73 87 9 65 9 14 73 75 73 58 69 7 7 7 7 9 46 62 
84 56 56 46 46 73 73 87 9 65 9 14 9 75 75 58 69 22 7 7 7 33 46 84 
84 56 46 46 90 21 93 87 9 65 9 42 9 75 75 58 69 2 7 7 7 22 46 84 
75 46 46 46 42 56 93 87 87 65 9 42 9 75 75 29 73 2 7 7 7 69 6 84 
75 46 46 90 90 56 55 87 87 65 9 42 9 84 84 29 29 2 7 7 7 33 90 62 
75 46 46 90 14 73 55 87 15 66 9 83 9 62 84 29 29 2 7 7 7 33 6 75 
73 90 90 90 82 46 55 87 87 66 9 83 9 62 84 29 69 2 2 7 2 33 6 75 
73 90 90 82 85 47 93 12 9 66 9 16 9 62 62 84 69 2 2 2 2 33 29 73 
73 90 90 82 85 46 93 12 87 50 9 16 9 62 62 29 29 2 2 2 2 69 29 73 
21 82 82 82 46 47 93 12 87 50 9 16 9 63 62 29 69 2 2 2 2 69 58 73 
21 82 82 80 46 47 93 12 12 50 9 43 9 63 62 62 6 22 2 2 2 69 58 21 
21 82 80 80 56 47 93 12 12 50 9 43 9 67 63 63 6 22 2 2 2 34 9 21 
85 80 80 47 85 47 12 12 12 24 9 43 9 67 84 6 6 22 2 2 2 69 47 85 
85 80 80 9 56 47 93 68 10 24 9 47 9 72 84 6 6 22 22 2 22 69 47 85 
56 80 47 47 85 43 93 68 10 24 9 47 9 72 84 67 6 22 22 22 22 9 43 85 
56 47 47 9 85 43 93 68 10 26 9 80 9 72 62 62 88 22 22 22 22 9 29 56 
56 47 47 9 85 43 93 68 10 26 9 80 9 30 62 62 88 33 22 22 22 9 29 73 
46 43 43 43 56 43 93 68 51 26 9 80 9 30 62 62 88 33 22 22 22 9 29 46 
46 43 43 9 80 43 93 68 51 94 9 82 9 58 62 62 88 33 22 22 22 9 90 46 
90 43 16 9 80 43 93 68 51 94 9 82 9 58 63 63 88 33 33 22 22 9 9 46 
90 16 16 39 9 43 93 41 9 94 9 90 9 58 63 63 88 33 33 33 33 9 83 56 
90 16 16 39 46 43 93 41 9 94 9 90 9 29 63 63 88 33 33 33 33 9 9 56 
82 16 83 47 9 42 19 41 9 71 9 46 9 29 63 63 34 33 33 33 33 9 42 46 
82 83 83 47 90 14 87 41 9 71 9 46 9 29 67 67 34 69 33 33 33 9 9 85 
80 83 83 43 9 14 87 41 41 71 19 46 9 6 67 67 34 69 33 33 33 9 9 46 
80 42 42 43 9 93 87 41 41 71 9 56 9 9 67 67 34 69 33 33 33 9 9 56 
42 42 42 43 9 93 87 41 41 79 9 56 9 9 67 72 67 69 69 33 69 9 9 90 
42 42 14 43 9 64 87 61 9 9 9 56 9 9 72 72 72 69 69 69 69 9 9 46 
14 14 14 43 9 64 38 61 41 9 9 85 9 9 72 72 34 69 69 69 69 9 9 47 
14 14 14 43 9 86 93 61 41 9 13 85 9 9 72 72 72 69 69 69 69 9 80 56 
48 14 48 16 86 86 93 61 61 79 9 21 9 9 72 30 72 18 69 69 69 9 9 56 
48 48 48 16 86 86 38 61 61 27 13 21 9 9 56 30 30 69 69 69 69 9 62 90 
48 48 64 16 86 13 38 61 61 27 9 21 9 9 9 30 30 69 69 69 69 9 62 82 
64 48 86 16 13 93 38 61 61 55 13 73 9 9 9 30 88 18 69 69 69 9 81 82 
64 64 39 16 13 93 38 91 61 55 9 73 9 9 9 30 88 18 69 69 69 34 81 82 
64 64 9 42 64 13 38 91 61 55 13 75 9 9 30 58 88 34 69 69 69 9 86 80 
81 81 9 16 39 93 38 91 93 55 32 75 9 9 30 58 88 29 18 69 18 9 9 82 
81 81 9 16 32 93 45 91 91 93 32 75 9 9 58 58 88 6 18 69 18 9 9 80 
39 81 9 43 39 93 45 91 91 93 32 84 9 9 58 58 34 34 18 18 18 9 62 80 
39 86 9 43 39 87 45 91 91 87 32 84 9 72 58 58 34 34 18 18 18 9 62 47 
39 86 9 43 39 93 45 91 91 87 32 62 9 72 58 29 34 6 18 18 18 9 9 47 
64 54 9 83 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 82 
64 54 9 83 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 82 
64 54 9 83 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 46 
64 54 9 83 89 74 3 35 94 12 74 58 29 29 94 29 6 18 34 34 34 3 9 82 
64 76 9 83 89 28 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 82 
81 54 44 83 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 46 
81 76 44 83 89 28 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 46 
81 54 44 42 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 46 
81 54 44 42 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 34 3 9 82 
81 54 44 42 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 88 3 9 82 
81 54 44 42 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 88 3 9 82 
81 76 44 42 89 74 3 35 94 12 74 58 29 29 94 6 6 18 34 34 88 3 9 82 
81 76 9 42 89 28 3 35 94 12 74 58 29 29 94 6 6 18 6 34 88 3 9 46 
81 54 9 42 89 28 3 35 94 12 74 29 29 29 94 6 6 18 6 34 88 3 9 46 
81 54 78 42 89 28 3 35 94 68 28 29 29 29 29 6 6 18 6 34 34 3 9 46 
